dimension;class;items;instance_number;LB;UB;best_known_LB;best_known_UB
2;1;25;1;6;6;6;6
2;1;25;2;7;7;7;7
2;1;25;3;7;7;7;7
2;1;25;4;7;7;7;7
2;1;25;5;7;7;7;7
2;1;25;6;7;7;7;7
2;1;25;7;7;7;7;7
2;1;25;8;7;7;7;7
2;1;25;9;7;7;7;7
2;1;25;10;7;7;7;7
2;1;50;1;13;13;13;13
2;1;50;2;13;13;13;13
2;1;50;3;13;13;13;13
2;1;50;4;13;13;13;13
2;1;50;5;13;13;13;13
2;1;50;6;14;14;14;14
2;1;50;7;14;14;14;14
2;1;50;8;14;14;14;14
2;1;50;9;14;14;14;14
2;1;50;10;14;14;14;14
2;1;100;1;25;25;25;25
2;1;100;2;26;26;26;26
2;1;100;3;26;26;26;26
2;1;100;4;25;25;25;25
2;1;100;5;25;25;25;25
2;1;100;6;25;25;25;25
2;1;100;7;25;25;25;25
2;1;100;8;26;26;26;26
2;1;100;9;26;26;26;26
2;1;100;10;26;26;26;26
2;1;200;1;50;51;50;50
2;1;200;2;50;51;50;50
2;1;200;3;50;51;50;50
2;1;200;4;50;56;50;50
2;1;200;5;50;51;50;50
2;1;200;6;50;51;50;50
2;1;200;7;50;51;50;50
2;1;200;8;51;51;51;51
2;1;200;9;51;51;51;51
2;1;200;10;51;51;51;51
2;2;25;1;13;13;13;13
2;2;25;2;14;14;14;14
2;2;25;3;14;14;14;14
2;2;25;4;14;14;14;14
2;2;25;5;13;13;13;13
2;2;25;6;14;14;14;14
2;2;25;7;14;14;14;14
2;2;25;8;15;15;15;15
2;2;25;9;15;15;15;15
2;2;25;10;16;16;16;16
2;2;50;1;30;30;30;30
2;2;50;2;31;31;31;31
2;2;50;3;31;31;31;31
2;2;50;4;31;31;31;31
2;2;50;5;31;31;31;31
2;2;50;6;32;32;32;32
2;2;50;7;32;32;32;32
2;2;50;8;32;32;32;32
2;2;50;9;33;33;33;33
2;2;50;10;32;32;32;32
2;2;100;1;62;62;62;62
2;2;100;2;57;57;57;57
2;2;100;3;56;56;56;56
2;2;100;4;57;57;57;57
2;2;100;5;56;56;56;56
2;2;100;6;57;57;57;57
2;2;100;7;56;56;56;56
2;2;100;8;58;58;58;58
2;2;100;9;57;57;57;57
2;2;100;10;58;58;58;58
2;2;200;1;111;111;111;111
2;2;200;2;114;114;114;114
2;2;200;3;111;111;111;111
2;2;200;4;115;115;115;115
2;2;200;5;110;110;110;110
2;2;200;6;116;116;116;116
2;2;200;7;111;111;111;111
2;2;200;8;117;117;117;117
2;2;200;9;112;112;112;112
2;2;200;10;118;118;118;118
2;3;25;1;13;13;13;13
2;3;25;2;14;14;14;14
2;3;25;3;14;14;14;14
2;3;25;4;14;14;14;14
2;3;25;5;13;13;13;13
2;3;25;6;14;14;14;14
2;3;25;7;14;14;14;14
2;3;25;8;15;15;15;15
2;3;25;9;15;15;15;15
2;3;25;10;16;16;16;16
2;3;50;1;30;30;30;30
2;3;50;2;31;31;31;31
2;3;50;3;31;31;31;31
2;3;50;4;31;31;31;31
2;3;50;5;31;31;31;31
2;3;50;6;32;32;32;32
2;3;50;7;32;32;32;32
2;3;50;8;32;32;32;32
2;3;50;9;33;33;33;33
2;3;50;10;32;32;32;32
2;3;100;1;56;56;56;56
2;3;100;2;57;57;57;57
2;3;100;3;57;57;57;57
2;3;100;4;57;57;57;57
2;3;100;5;56;56;56;56
2;3;100;6;57;57;57;57
2;3;100;7;56;56;56;56
2;3;100;8;58;58;58;58
2;3;100;9;57;57;57;57
2;3;100;10;58;58;58;58
2;3;200;1;111;111;111;111
2;3;200;2;114;114;114;114
2;3;200;3;111;111;111;111
2;3;200;4;115;115;115;115
2;3;200;5;110;110;110;110
2;3;200;6;116;116;116;116
2;3;200;7;111;111;111;111
2;3;200;8;117;117;117;117
2;3;200;9;112;112;112;112
2;3;200;10;118;118;118;118
2;4;25;1;3;3;3;3
2;4;25;2;3;3;3;3
2;4;25;3;3;3;3;3
2;4;25;4;3;3;3;3
2;4;25;5;3;3;3;3
2;4;25;6;3;3;3;3
2;4;25;7;3;3;3;3
2;4;25;8;4;4;4;4
2;4;25;9;4;4;4;4
2;4;25;10;4;4;4;4
2;4;50;1;7;7;7;7
2;4;50;2;7;7;7;7
2;4;50;3;7;7;7;7
2;4;50;4;7;7;7;7
2;4;50;5;7;7;7;7
2;4;50;6;7;7;7;7
2;4;50;7;7;7;7;7
2;4;50;8;7;7;7;7
2;4;50;9;7;7;7;7
2;4;50;10;7;7;7;7
2;4;100;1;13;13;13;13
2;4;100;2;13;13;13;13
2;4;100;3;13;13;13;13
2;4;100;4;13;13;13;13
2;4;100;5;13;13;13;13
2;4;100;6;13;13;13;13
2;4;100;7;13;13;13;13
2;4;100;8;13;13;13;13
2;4;100;9;13;13;13;13
2;4;100;10;13;13;13;13
2;4;200;1;25;27;25;25
2;4;200;2;25;27;25;25
2;4;200;3;25;27;25;25
2;4;200;4;25;27;25;25
2;4;200;5;25;26;25;25
2;4;200;6;25;27;25;25
2;4;200;7;25;26;25;25
2;4;200;8;26;26;26;26
2;4;200;9;26;26;26;26
2;4;200;10;26;26;26;26
2;5;25;1;2;2;2;2
2;5;25;2;2;2;2;2
2;5;25;3;2;2;2;2
2;5;25;4;2;2;2;2
2;5;25;5;2;2;2;2
2;5;25;6;2;2;2;2
2;5;25;7;2;2;2;2
2;5;25;8;2;2;2;2
2;5;25;9;2;2;2;2
2;5;25;10;2;2;2;2
2;5;50;1;4;4;4;4
2;5;50;2;4;4;4;4
2;5;50;3;4;4;4;4
2;5;50;4;4;4;4;4
